zip,lat,lng,city,state_id,state_name,county_name
23601,37.05863,-76.46392,Newport News,VA,Virginia,Newport News
23651,37.009170000000005,-76.30503,Fort Monroe,VA,Virginia,Hampton
23662,37.131809999999994,-76.35673,Poquoson,VA,Virginia,Poquoson
23701,36.811809999999994,-76.37078000000001,Portsmouth,VA,Virginia,Portsmouth
23801,37.23535,-77.3353,Fort Lee,VA,Virginia,Prince George
23803,37.21232,-77.48143,Petersburg,VA,Virginia,Petersburg
23821,36.88067,-77.92043000000001,Alberta,VA,Virginia,Brunswick
23824,37.089620000000004,-77.96734000000001,Blackstone,VA,Virginia,Nottoway
23827,36.61059,-77.2012,Boykins,VA,Virginia,Southampton
23833,37.2077,-77.6727,Church Road,VA,Virginia,Dinwiddie
23834,37.28974,-77.40366,Colonial Heights,VA,Virginia,Colonial Heights
23839,37.07982,-76.91887,Dendron,VA,Virginia,Surry
23847,36.670429999999996,-77.55067,Emporia,VA,Virginia,Greensville
23860,37.27984,-77.21731,Hopewell,VA,Virginia,Hopewell
23901,37.31622,-78.41609,Farmville,VA,Virginia,Prince Edward
23915,36.70149,-78.28676999999999,Baskerville,VA,Virginia,Mecklenburg
23923,37.09234,-78.64394,Charlotte Court House,VA,Virginia,Charlotte
23944,36.90668,-78.13427,Kenbridge,VA,Virginia,Lunenburg
23958,37.26651,-78.65975,Pamplin,VA,Virginia,Appomattox
24011,37.27044,-79.94126999999999,Roanoke,VA,Virginia,Roanoke
24053,36.608579999999996,-80.53375,Ararat,VA,Virginia,Patrick
24054,36.67394,-79.70510999999999,Axton,VA,Virginia,Henry
24058,37.18414,-80.6157,Belspring,VA,Virginia,Pulaski
24064,37.37194,-79.77645,Blue Ridge,VA,Virginia,Botetourt
24069,36.58325,-79.63481,Cascade,VA,Virginia,Pittsylvania
24072,37.03633,-80.2329,Check,VA,Virginia,Floyd
24086,37.27426,-80.6343,Eggleston,VA,Virginia,Giles
24127,37.486309999999996,-80.19046,New Castle,VA,Virginia,Craig
24141,37.09487,-80.56832,Radford,VA,Virginia,Radford
24216,36.9437,-82.79763,Appalachia,VA,Virginia,Wise
24217,37.08415,-82.17205,Bee,VA,Virginia,Dickenson
24221,36.63361,-82.99548,Blackwater,VA,Virginia,Lee
24224,36.862320000000004,-82.28197,Castlewood,VA,Virginia,Russell
24239,37.113479999999996,-82.15014000000001,Davenport,VA,Virginia,Buchanan
24244,36.71568,-82.78923,Duffield,VA,Virginia,Scott
24273,36.96167,-82.65647,Norton,VA,Virginia,Norton
24292,36.61457,-81.57778,Whitetop,VA,Virginia,Grayson
24311,36.88173,-81.40915,Atkins,VA,Virginia,Smyth
24313,36.90827,-80.80658000000001,Barren Springs,VA,Virginia,Wythe
24314,37.16731,-81.21383,Bastian,VA,Virginia,Bland
